Q31	country in western Europe
Q1722555	term in basketball; used when a defensive basketball player causes a turnover by positive, aggressive action
Q1726530	Russian TV station
Q1737017	baseball stadium in Kansas City, Missouri, USA, home venue of the Kansas City Royals
Q1741154	academic publisher
Q1742161	university in Mons, Belgium
Q1750688	naval warfare branch of Brazil's military forces
Q1752423	municipality of Zamora Province, Spain
Q1752901	land force that fought for the Union during the American Civil War
Q1752906	political party in the Gambia
Q1755020	town in north east England
Q1758414	commune in Martinique, France
Q1760847	Parliament of Suriname
Q1763297	an individually administered intelligence test that was revised from the original Binet–Simon Scale
Q1766247	human settlement in L'Alt Maestrat, Castellón Province, Valencian Community, Spain
Q1766348	district of Madrid, Spain
Q1766751	manned spaceflight program developed by NASA from 2005 to 2009
Q1771717	public university in Portland, Oregon
Q1777988	university in Chelyabinsk, Russia
Q1783603	university in Brooklyn and Brookville, New York, United States
Q1784088	legislative body of Zambia
Q1789604	municipality in the Czech Republic
Q1790948	forms part of the Province of Canterbury in England
Q1800196	overview of the geography of Kazakhstan
Q1809475	video game
Q1812121	sports team
Q1813221	US military newspaper
Q1815899	municipality in the state of Ceará, Brazil
Q1817686	university in Alabama
Q1824566	football league in Romania
Q1826675	rapid transit line of the Madrid Metro
Q1826683	rapid transit line of the Madrid Metro
Q1827860	Football team from Kostroma, Russia
Q1840844	association football club in Algeria
Q1847803	football club
Q1856565	Nelson Mandela Bay Municipality is one of eight Metropolitan (or Category A) municipalities in South Africa
Q1858139	American pay television channel
Q1861687	public land-grant research university in Bozeman, Montana, United States
Q1869028	university in City of London, UK
Q1882973	dialect of the Lisp programming language
Q1886920	Malaysian political party
Q1891413	Swedish Baroque castle on a peninsula of Lake Mälaren between Stockholm and Uppsala, built in the 17th century by Carl Gustaf Wrangel
Q1913305	winery in California
Q1922100	Urban rail system and operating company serving Liverpool and Merseyside
Q1928222	programming language
Q1933558	french university situated in Toulouse, created in 1969
Q1943433	former municipality in the Netherlands
Q1945447	mountain in French Southern and Antarctic Lands' France
Q1945756	a comprehensive university located in Shenzhen
Q1947988	District of Madrid
Q1953914	association football club in Brackley, England
Q1956181	building in Toshima-ku, Tokyo, Japan
Q1960702	mountain in West Sumatra, Indonesia
Q1964153	2007 film by Vipul Amrutlal Shah
Q1964765	mountain in Tochigi Prefecture, Japan
Q1968458	Poder ejecutivo de Bolivia
Q1969034	Canadian-bred Thoroughbred racehorse
Q1970473	administrative district (raion) of Kyiv, Ukraine
Q1971856	portion of the North Atlantic Ocean, located off the coast of western Scotland
Q1979567	political party in Japan
Q1988069	Japanese OVA series
Q2000065	Spanish public university located in the province of Cádiz, Andalusia, Spain
Q2006542	state in Asia 15 August 1947 – 23 March 1956
Q2014012	Japanese anime television series
Q2018386	physics journal from the American Physical Society
Q2023928	skyscraper in Manhattan, New York City
Q2026969	urban-type settlement in Kiev Oblast, Ukraine
Q2028870	association football club in Havant, England
Q2033748	mountain in East Java, Indonesia
Q2035444	football club in Joinville, Santa Catarina, Brazil
Q2042174	American regional airline
Q2043633	Japanese manga
Q2052376	battle of the American Civil War
Q2066595	Church of England's diocese covering eastern Kent
Q2068405	liga de calabozo
Q2080375	town and civil parish in Amber Valley, Derbyshire, England
Q2086434	season of television series
Q2087788	art museum in Yerevan, Armenia
Q2092214	public research university
Q2092297	large carnivorous bird
Q2093921	association football club in Jūrmala, Latvia
Q2096518	Irish television station
Q2096524	multi-campus university located in Northern Ireland
Q2119751	district of Turkey
Q2154003	Mass Rapid Transit line in Singapore
Q2164376	Liberian political party
Q2175909	national association football team
Q2187095	political party from Uganda (founded 1960; ruling party 1962-1971 and 1980-1985; sole legal political party 1969-1971)
Q2196086	1994 video game
Q2217762	WWII Concentration Camp in Trøndelag, Norway
Q2252456	Irish language television network
Q2289692	office skyscraper in Manhattan, New York
Q2297486	Italian university
Q2304559	honorary order in Tunisia
Q2337769	2007 video game
Q2344719	New York City Subway line in the USA
Q2344799	pre-dreadnought battleship of the United States Navy
Q2347334	multi-paradigm programming language
Q2352160	city in Azerbaijan
Q2353526	town on the south eastern tip of Ukraine
Q2353599	battle of the American Civil War
Q2365168	media franchise created in 1984
Q2374140	art museum in Kaminoge Setagaya Tokyo Japan
Q2392351	University in Leeds, United Kingdom
Q2396276	journal
Q2397541	Former diocese of the Church of England
Q2402748	public park and former airfield in Berlin, Germany
Q2415973	city in Donetsk Oblast, Ukraine
Q2422698	U.S. premium cable TV movie channel
Q2426022	association football club in the Netherlands
Q2427155	city in Třebíč District, Czech Republic
Q2429655	district of Kerala, India
Q2432955	town in west London
Q2441562	national portrait gallery of Scotland in Edinburgh
Q2449493	parliament of the Walloon Region, Belgium
Q2449644	town in Surrey, England
Q2455114	episode of The Simpsons
Q2462654	town and civil parish in North Yorkshire, UK
Q2471350	Japanese anime television series
Q2496116	university in Xi'an, China
Q2501997	Anglican diocese
Q2503809	university in Kingston upon Thames, UK
Q2521960	Disneyland Park attraction
Q2526204	English association football club
Q2563892	Diocese of the Church of England
Q2565461	bonobo research subject
Q2569184	market town in Buckinghamshire, England
Q2590962	American college
Q2602778	French environmental ministry
Q2608774	French newspaper
Q2608796	2005 video game
Q2613697	high-performance dynamic programming language
Q2617855	Japanese video game developer
Q2626388	manga, anime, and film
Q2626587	Japanese manga series
Q2644123	American film production company
Q2652980	bridge connecting Russia's Krasnodar Krai with Crimea
Q2653287	political party
Q2663542	earthquake
Q2665610	Israeli political party
Q2666571	rapid transit line in Rome, Italy
Q2669254	language of the Cofán people
Q2687782	public university in Stevens Point, Wisconsin, USA
Q2695156	fictional character, a comic book superhero created by artist Bob Kane and writer Bill Finger
Q2697074	Indiana-class pre-dreadnought battleship of the United States Navy
Q2700629	2013 American computer-animated adventure film directed by Chris Wedge
Q2706100	Illinois-class pre-dreadnought battleship of the United States Navy
Q2711954	China Central Television science and education channel
Q2742547	address on Leadenhall Street in London, UK
Q2752922	national under-17 association football team representing England
Q2757426	Czech football team
Q2777887	municipality in Värmland County, Sweden
Q2783344	international research university based in Nur-Sultan, Kazakhstan
Q2876720	television series
Q2877626	news division of the American broadcast network NBC
Q2883379	central bank
Q2887359	video game
Q2908540	book publishing company
Q2937375	1938-1961 airline in the United States
Q2963340	Public school system of the municipal government of Chicago, Illinois
Q2977589	museum in Japan
Q2982584	central bank
Q3028195	Anglican diocese
Q3028486	temple in Sakyo-ku, Kyoto, Japan
Q3028559	Church of England diocese
Q3028653	Former diocese of the Church of England
Q3030511	steam railroad system at the Disneyland park in the Disneyland Resort
Q3040537	American airline from 1934 to 1980
Q3064264	law school affiliated with Boston University in the USA
Q3066185	mountain in Chile
Q3079176	protected area in the United States
Q3083280	state university in Kandy, Sri Lanka
Q3085258	journal
Q3091909	trade union federation in North Korea
Q3099791	football club that supervises football in the state of Sabah, Malaysia
Q3125096	Japanese era from October 1868 to July 1912
Q3125978	province of Indonesia
Q3133193	university in Spain
Q3133588	mountain in Nagano and Gifu Prefectures, Japan
Q3136772	river in Tokyo
Q3139238	town in South London, England
Q3141397	television series
Q3142351	2005 video game
Q3147102	point-and-click adventure video game
Q3152453	French university cluster based in Toulouse
Q3176886	Public research university located in Quezon City, Philippines
Q3179541	Autonomous section of UK Labour Party
Q3182559	2020 role-playing video game developed by CD Projekt RED
Q3186939	peer-reviewed scientific Journal
Q3186999	attraction at Tokyo DisneySea
Q3226461	An express train that ran to and from Marseille, France, between 1964 and 1978
Q3233786	university in Minnesota, United States
Q3239049	Metro line in Mexico City
Q3239105	under-construction light rail line in Toronto, Ontario, Canada
Q3239923	French railway line
Q3240094	Railroad (railway) line;
Q3240427	urban area in Härnösand Municipality, Sweden
Q3255441	Danish town
Q3265748	2019 video game
Q3268085	book by Satoko Okudera
Q3270206	Presidential library and museum for U.S. President Dwight D. Eisenhower, located in Abilene, Kansas
Q3270273	State legislature of the U.S. state of Michigan
Q3274031	Illinois-class pre-dreadnought battleship of the United States Navy
Q3276539	Japanese anime television series
Q3276672	mountain in Shizuoka Prefecture, Japan
Q3276924	mountain in Gifu and Nagano Prefectures, Japan
Q3324473	intercollegiate sports teams of the University of Kentucky
Q3333824	rapid transit system
Q3445256	Private university in New Hampshire, U.S.
Q3495447	network of question and answer websites
Q3512046	2015 American science fiction adventure film directed by Colin Trevorrow
Q3551402	university in Leicester, UK
Q3551621	French university located in Lille. Founded in 1559 in Douai; split between 1970 and 2017 into three independent universities (Lille-I, Lille-II and Lille-III).
Q3551686	university in Tunisia
Q3577853	law school in San Francisco
Q3622471	programming language
Q3634937	state legislature of Indiana, United States
Q3694683	the highest court in the U.S. state of Texas
Q3728583	season of television series
Q3761739	Koushun Takami book
Q3783572	art museums at Harvard University
Q3788035	type of Naval gun
Q3822734	hospital in Scotland
Q3848124	museum in Toledo, Spain
Q3912863	expansion pack for Sims 3
Q3913339	language
Q3951786	Regional airline subsidiary of Air France
Q4071168	borough of Berlin, Germany
Q4115712	city and administrative center of Kaunas County in Lithuania
Q4115810	Higher education institution in Kanagawa Prefecture, Japan
Q4121246	circular light rail line of Kaohsiung Mass Rapid Transit
